name,state,par_mean,par_median
Centralia College,WA,79800.97635935179,66300
Centre College Of Kentucky,KY,192429.8266047297,111000
Cerritos Community College,CA,56123.49817967453,45500
Certain Colorado Community Colleges,CO,89405.63749464421,70800
Chabot-Las Positas Community College District,CA,101121.4640307908,84000
Chadron State College,NE,72584.39896740376,68100
Chaffey Community College,CA,76332.50965412405,66300
Chaminade University Of Honolulu,HI,79499.56704390871,66600
Champlain College,VT,124026.1553041188,85200
Chapman University,CA,233063.9001865672,109600
Charles Stewart Mott Community College,MI,83086.510943745,78800
Charleston Southern University,SC,88515.80989583333,70500
Chatham University,PA,98628.72739583334,71200
Chattahoochee Technical College,GA,84297.8828125,70800
Chattahoochee Valley Community College,AL,62115.0390625,48300
Chattanooga State Community College,TN,75404.91448717198,61800
Chemeketa Community College,OR,75356.92374946317,66100
Chesapeake College,MD,72342.70170819075,65500
Chestnut Hill College,PA,85882.13541666667,76600
Cheyney University Of Pennsylvania,PA,49417.09597232405,38600
Chicago State University,IL,51843.76084757194,43700
Chipola College,FL,63056.5625,51800
Chippewa Valley Technical College,WI,74736.92417619367,66900
Christian Brothers University,TN,144483.7003676471,97600
Christopher Newport University,VA,101743.3676167583,92500
Cincinnati Christian University,OH,101239.9505208333,74400
Cincinnati State Technical & Community College,OH,76086.00119731801,68800
Cisco College,TX,61954.15924228766,53600
"Citadel, The Military College Of South Carolina",SC,146210.8854543809,106800
Citrus Community College,CA,77666.00097720372,66500
City College Of New York - CUNY,NY,54008.89980144533,35500
City Colleges Of Chicago,IL,52773.57552083334,39400
Clackamas Community College,OR,84703.94165732437,73400
Claflin University,SC,47542.23958333334,35400
Claremont Mckenna College,CA,335092.9724310777,142000
Clarendon College,TX,59815.49644050044,50800
Clarion University Of Pennsylvania,PA,84457.0646752451,75500
Clark Atlanta University,GA,74033.1439524879,54500
Clark College,WA,93273.28773172376,82100
Clark State Community College,OH,71638.21039364641,66100
Clark University,MA,176605.0441706731,103000
Clarke University,IA,95361.00260416669,75700
Clarkson University,NY,121016.7812639759,94600
Clatsop Community College,OR,67825.03645833333,59000
Clayton State University,GA,85736.6675362163,77600
Clearwater Christian College,FL,108308.4270833333,64300
Clemson University,SC,167040.6806954471,120200
Cleveland Community College,NC,60836.81950020696,49600
Cleveland Institute Of Dental - Medical Assistants,OH,45757.71354166666,42600
Cleveland State Community College,TN,68400.91729969147,64700
Cleveland State University,OH,83517.16677163604,72700
Clinton Community College - SUNY Office Of Community Colleges,NY,72551.9174281189,62800
Cloud County Community College,KS,60092.88543110049,54200
Clover Park Technical College,WA,72370.83722527472,65300
Clovis Community College,NM,53957.48672120676,44300
Coast Community College District,CA,101057.1972910093,72800
Coastal Carolina Community College,NC,66498.19622439188,56700
Coastal Carolina University,SC,120509.9386044909,91500
